Step: 0, Episode: 0, Stage: 1-1, Score: 0, Time: 400, Episode Max X: 39, All-Time Max X: 39, Episode Reward: 38.0
Step: 500, Episode: 0, Stage: 1-1, Score: 1350, Time: 303, Episode Max X: 382, All-Time Max X: 382, Episode Reward: 921.5
Step: 1000, Episode: 0, Stage: 1-1, Score: 1350, Time: 203, Episode Max X: 456, All-Time Max X: 456, Episode Reward: 1078.0
Step: 1500, Episode: 0, Stage: 1-1, Score: 1350, Time: 103, Episode Max X: 456, All-Time Max X: 456, Episode Reward: 1129.0
Step: 2000, Episode: 0, Stage: 1-1, Score: 1350, Time: 3, Episode Max X: 464, All-Time Max X: 464, Episode Reward: 1294.0
Step: 2500, Episode: 1, Stage: 1-1, Score: 300, Time: 303, Episode Max X: 301, All-Time Max X: 464, Episode Reward: 485.0
Step: 3000, Episode: 1, Stage: 1-1, Score: 1350, Time: 206, Episode Max X: 332, All-Time Max X: 464, Episode Reward: 884.5
Step: 3500, Episode: 1, Stage: 1-1, Score: 1650, Time: 106, Episode Max X: 627, All-Time Max X: 627, Episode Reward: 1395.5
Step: 4000, Episode: 1, Stage: 1-1, Score: 1750, Time: 9, Episode Max X: 722, All-Time Max X: 722, Episode Reward: 1655.0
Step: 4500, Episode: 2, Stage: 1-1, Score: 0, Time: 309, Episode Max X: 118, All-Time Max X: 722, Episode Reward: 147.0
Step: 5000, Episode: 2, Stage: 1-1, Score: 0, Time: 395, Episode Max X: 249, All-Time Max X: 722, Episode Reward: 172.5
Step: 5500, Episode: 2, Stage: 1-1, Score: 0, Time: 295, Episode Max X: 249, All-Time Max X: 722, Episode Reward: 221.5
Step: 6000, Episode: 2, Stage: 1-1, Score: 300, Time: 195, Episode Max X: 256, All-Time Max X: 722, Episode Reward: 630.0
Step: 6500, Episode: 2, Stage: 1-1, Score: 300, Time: 95, Episode Max X: 256, All-Time Max X: 722, Episode Reward: 763.0
Step: 7000, Episode: 3, Stage: 1-1, Score: 0, Time: 395, Episode Max X: 63, All-Time Max X: 722, Episode Reward: 78.5
Step: 7500, Episode: 3, Stage: 1-1, Score: 0, Time: 371, Episode Max X: 186, All-Time Max X: 722, Episode Reward: 205.5
Step: 8000, Episode: 3, Stage: 1-1, Score: 300, Time: 271, Episode Max X: 249, All-Time Max X: 722, Episode Reward: 537.0
Step: 8500, Episode: 3, Stage: 1-1, Score: 1600, Time: 174, Episode Max X: 400, All-Time Max X: 722, Episode Reward: 1194.0
Step: 9000, Episode: 3, Stage: 1-1, Score: 1600, Time: 74, Episode Max X: 510, All-Time Max X: 722, Episode Reward: 1471.5
Step: 9500, Episode: 4, Stage: 1-1, Score: 0, Time: 374, Episode Max X: 40, All-Time Max X: 722, Episode Reward: 5.0
Step: 10000, Episode: 4, Stage: 1-1, Score: 0, Time: 344, Episode Max X: 194, All-Time Max X: 722, Episode Reward: 119.0
Step: 10500, Episode: 4, Stage: 1-1, Score: 0, Time: 370, Episode Max X: 207, All-Time Max X: 722, Episode Reward: 261.0
Step: 11000, Episode: 5, Stage: 1-1, Score: 0, Time: 360, Episode Max X: 59, All-Time Max X: 722, Episode Reward: 73.5
Step: 11500, Episode: 5, Stage: 1-1, Score: 0, Time: 260, Episode Max X: 120, All-Time Max X: 722, Episode Reward: 202.0
Step: 12000, Episode: 5, Stage: 1-1, Score: 300, Time: 160, Episode Max X: 302, All-Time Max X: 722, Episode Reward: 510.0
Step: 12500, Episode: 5, Stage: 1-1, Score: 300, Time: 60, Episode Max X: 329, All-Time Max X: 722, Episode Reward: 821.0
Step: 13000, Episode: 6, Stage: 1-1, Score: 100, Time: 363, Episode Max X: 215, All-Time Max X: 722, Episode Reward: 282.0
Step: 13500, Episode: 6, Stage: 1-1, Score: 300, Time: 263, Episode Max X: 435, All-Time Max X: 722, Episode Reward: 905.0
Step: 14000, Episode: 6, Stage: 1-1, Score: 500, Time: 163, Episode Max X: 494, All-Time Max X: 722, Episode Reward: 1084.5
Step: 14500, Episode: 6, Stage: 1-1, Score: 500, Time: 63, Episode Max X: 500, All-Time Max X: 722, Episode Reward: 1009.0
