Step: 0, Episode: 0, Stage: 1-1, Score: 0, Time: 400, Episode Max X: 40, All-Time Max X: 40, Episode Reward: 40.0
Step: 500, Episode: 0, Stage: 1-1, Score: 0, Time: 354, Episode Max X: 263, All-Time Max X: 263, Episode Reward: 512.5
Step: 1000, Episode: 0, Stage: 1-1, Score: 500, Time: 254, Episode Max X: 448, All-Time Max X: 448, Episode Reward: 1360.0
Step: 1500, Episode: 0, Stage: 1-1, Score: 500, Time: 154, Episode Max X: 722, All-Time Max X: 722, Episode Reward: 1976.0
Step: 2000, Episode: 0, Stage: 1-1, Score: 500, Time: 54, Episode Max X: 724, All-Time Max X: 724, Episode Reward: 2103.5
Step: 2500, Episode: 1, Stage: 1-1, Score: 0, Time: 354, Episode Max X: 73, All-Time Max X: 724, Episode Reward: 124.5
Step: 3000, Episode: 1, Stage: 1-1, Score: 0, Time: 396, Episode Max X: 245, All-Time Max X: 724, Episode Reward: 289.5
Step: 3500, Episode: 1, Stage: 1-1, Score: 0, Time: 361, Episode Max X: 245, All-Time Max X: 724, Episode Reward: 343.5
Step: 4000, Episode: 1, Stage: 1-1, Score: 100, Time: 261, Episode Max X: 245, All-Time Max X: 724, Episode Reward: 697.5
Step: 4500, Episode: 1, Stage: 1-1, Score: 100, Time: 161, Episode Max X: 245, All-Time Max X: 724, Episode Reward: 696.5
Step: 5000, Episode: 1, Stage: 1-1, Score: 1300, Time: 64, Episode Max X: 510, All-Time Max X: 724, Episode Reward: 1497.0
Step: 5500, Episode: 2, Stage: 1-1, Score: 0, Time: 364, Episode Max X: 71, All-Time Max X: 724, Episode Reward: 44.5
Step: 6000, Episode: 2, Stage: 1-1, Score: 100, Time: 264, Episode Max X: 204, All-Time Max X: 724, Episode Reward: 408.5
Step: 6500, Episode: 2, Stage: 1-1, Score: 100, Time: 164, Episode Max X: 217, All-Time Max X: 724, Episode Reward: 407.0
Step: 7000, Episode: 2, Stage: 1-1, Score: 100, Time: 64, Episode Max X: 217, All-Time Max X: 724, Episode Reward: 344.5
Step: 7500, Episode: 3, Stage: 1-1, Score: 0, Time: 364, Episode Max X: 105, All-Time Max X: 724, Episode Reward: 97.0
Step: 8000, Episode: 3, Stage: 1-1, Score: 0, Time: 264, Episode Max X: 118, All-Time Max X: 724, Episode Reward: 157.0
Step: 8500, Episode: 3, Stage: 1-1, Score: 0, Time: 164, Episode Max X: 146, All-Time Max X: 724, Episode Reward: 228.5
Step: 9000, Episode: 3, Stage: 1-1, Score: 0, Time: 305, Episode Max X: 202, All-Time Max X: 724, Episode Reward: 82.0
