Step: 0, Episode: 0, Stage: 1-1, Score: 0, Time: 400, Episode Max X: 40, All-Time Max X: 40, Episode Reward: 40.0
Step: 500, Episode: 0, Stage: 1-1, Score: 300, Time: 300, Episode Max X: 274, All-Time Max X: 274, Episode Reward: 613.0
Step: 1000, Episode: 0, Stage: 1-1, Score: 300, Time: 200, Episode Max X: 594, All-Time Max X: 594, Episode Reward: 1190.5
Step: 1500, Episode: 0, Stage: 1-1, Score: 300, Time: 100, Episode Max X: 594, All-Time Max X: 594, Episode Reward: 1394.0
Step: 2000, Episode: 0, Stage: 1-1, Score: 300, Time: 0, Episode Max X: 722, All-Time Max X: 722, Episode Reward: 1468.0
Step: 2500, Episode: 1, Stage: 1-1, Score: 0, Time: 356, Episode Max X: 235, All-Time Max X: 722, Episode Reward: 466.0
Step: 3000, Episode: 1, Stage: 1-1, Score: 300, Time: 256, Episode Max X: 614, All-Time Max X: 722, Episode Reward: 1472.5
Step: 3500, Episode: 1, Stage: 1-1, Score: 300, Time: 156, Episode Max X: 614, All-Time Max X: 722, Episode Reward: 1420.0
Step: 4000, Episode: 1, Stage: 1-1, Score: 300, Time: 351, Episode Max X: 666, All-Time Max X: 722, Episode Reward: 1237.0
Step: 4500, Episode: 1, Stage: 1-1, Score: 400, Time: 251, Episode Max X: 666, All-Time Max X: 722, Episode Reward: 1684.5
Step: 5000, Episode: 1, Stage: 1-1, Score: 1700, Time: 154, Episode Max X: 666, All-Time Max X: 722, Episode Reward: 2258.5
Step: 5500, Episode: 1, Stage: 1-1, Score: 1700, Time: 54, Episode Max X: 666, All-Time Max X: 722, Episode Reward: 2288.0
Step: 6000, Episode: 2, Stage: 1-1, Score: 0, Time: 354, Episode Max X: 196, All-Time Max X: 722, Episode Reward: 209.0
Step: 6500, Episode: 2, Stage: 1-1, Score: 0, Time: 362, Episode Max X: 204, All-Time Max X: 722, Episode Reward: 226.5
Step: 7000, Episode: 2, Stage: 1-1, Score: 0, Time: 262, Episode Max X: 204, All-Time Max X: 722, Episode Reward: 159.0
Step: 7500, Episode: 2, Stage: 1-1, Score: 0, Time: 162, Episode Max X: 204, All-Time Max X: 722, Episode Reward: 280.0
Step: 8000, Episode: 2, Stage: 1-1, Score: 0, Time: 62, Episode Max X: 204, All-Time Max X: 722, Episode Reward: 303.0
Step: 8500, Episode: 3, Stage: 1-1, Score: 0, Time: 365, Episode Max X: 94, All-Time Max X: 722, Episode Reward: 85.0
Step: 9000, Episode: 3, Stage: 1-1, Score: 0, Time: 265, Episode Max X: 106, All-Time Max X: 722, Episode Reward: 247.0
