Step: 0, Episode: 0, Stage: 1-1, Score: 0, Time: 400, Episode Max X: 40, All-Time Max X: 40, Episode Reward: 2400.0
Step: 500, Episode: 0, Stage: 1-1, Score: 0, Time: 300, Episode Max X: 307, All-Time Max X: 307, Episode Reward: 4388.0
Step: 1000, Episode: 0, Stage: 1-1, Score: 1250, Time: 203, Episode Max X: 374, All-Time Max X: 374, Episode Reward: -7208.0
Step: 1500, Episode: 0, Stage: 1-1, Score: 1300, Time: 103, Episode Max X: 594, All-Time Max X: 594, Episode Reward: -10567.0
Step: 2000, Episode: 0, Stage: 1-1, Score: 1300, Time: 3, Episode Max X: 670, All-Time Max X: 670, Episode Reward: -23157.0
Step: 2500, Episode: 1, Stage: 1-1, Score: 0, Time: 303, Episode Max X: 102, All-Time Max X: 688, Episode Reward: -14524.0
Step: 3000, Episode: 1, Stage: 1-1, Score: 100, Time: 203, Episode Max X: 180, All-Time Max X: 688, Episode Reward: -32868.0
Step: 3500, Episode: 1, Stage: 1-1, Score: 300, Time: 103, Episode Max X: 293, All-Time Max X: 688, Episode Reward: -41675.0
Step: 4000, Episode: 1, Stage: 1-1, Score: 300, Time: 3, Episode Max X: 310, All-Time Max X: 688, Episode Reward: -61600.0
Step: 4500, Episode: 2, Stage: 1-1, Score: 200, Time: 388, Episode Max X: 277, All-Time Max X: 688, Episode Reward: -27888.0
Step: 5000, Episode: 2, Stage: 1-1, Score: 300, Time: 288, Episode Max X: 277, All-Time Max X: 688, Episode Reward: -47224.0
Step: 5500, Episode: 2, Stage: 1-1, Score: 300, Time: 188, Episode Max X: 277, All-Time Max X: 688, Episode Reward: -65022.0
Step: 6000, Episode: 2, Stage: 1-1, Score: 500, Time: 88, Episode Max X: 434, All-Time Max X: 688, Episode Reward: -70644.0
Step: 6500, Episode: 3, Stage: 1-1, Score: 0, Time: 388, Episode Max X: 43, All-Time Max X: 688, Episode Reward: 1178.0
Step: 7000, Episode: 3, Stage: 1-1, Score: 0, Time: 383, Episode Max X: 203, All-Time Max X: 688, Episode Reward: -19045.0
Step: 7500, Episode: 3, Stage: 1-1, Score: 100, Time: 283, Episode Max X: 314, All-Time Max X: 688, Episode Reward: -26508.0
Step: 8000, Episode: 3, Stage: 1-1, Score: 1650, Time: 186, Episode Max X: 384, All-Time Max X: 688, Episode Reward: -33188.0
Step: 8500, Episode: 3, Stage: 1-1, Score: 1650, Time: 86, Episode Max X: 456, All-Time Max X: 688, Episode Reward: -46880.0
Step: 9000, Episode: 4, Stage: 1-1, Score: 0, Time: 386, Episode Max X: 68, All-Time Max X: 688, Episode Reward: 893.0
Step: 9500, Episode: 4, Stage: 1-1, Score: 300, Time: 286, Episode Max X: 282, All-Time Max X: 688, Episode Reward: -590.0
Step: 10000, Episode: 4, Stage: 1-1, Score: 1300, Time: 187, Episode Max X: 389, All-Time Max X: 688, Episode Reward: -11794.0
Step: 10500, Episode: 4, Stage: 1-1, Score: 1600, Time: 89, Episode Max X: 440, All-Time Max X: 688, Episode Reward: -28167.0
Step: 11000, Episode: 6, Stage: 1-1, Score: 0, Time: 389, Episode Max X: 40, All-Time Max X: 688, Episode Reward: -431.0
Step: 11500, Episode: 6, Stage: 1-1, Score: 500, Time: 289, Episode Max X: 420, All-Time Max X: 688, Episode Reward: 4115.0
Step: 12000, Episode: 6, Stage: 1-1, Score: 1600, Time: 192, Episode Max X: 537, All-Time Max X: 688, Episode Reward: -4047.0
Step: 12500, Episode: 6, Stage: 1-1, Score: 1600, Time: 92, Episode Max X: 594, All-Time Max X: 688, Episode Reward: -24587.0
Step: 13000, Episode: 7, Stage: 1-1, Score: 0, Time: 392, Episode Max X: 52, All-Time Max X: 688, Episode Reward: -167.0
Step: 13500, Episode: 7, Stage: 1-1, Score: 100, Time: 292, Episode Max X: 231, All-Time Max X: 688, Episode Reward: -6407.0
Step: 14000, Episode: 7, Stage: 1-1, Score: 100, Time: 192, Episode Max X: 258, All-Time Max X: 688, Episode Reward: -20345.0
Step: 14500, Episode: 7, Stage: 1-1, Score: 300, Time: 92, Episode Max X: 325, All-Time Max X: 688, Episode Reward: -32257.0
Step: 15000, Episode: 8, Stage: 1-1, Score: 0, Time: 392, Episode Max X: 60, All-Time Max X: 688, Episode Reward: 3010.0
Step: 15500, Episode: 8, Stage: 1-1, Score: 100, Time: 292, Episode Max X: 147, All-Time Max X: 688, Episode Reward: -9221.0
Step: 16000, Episode: 8, Stage: 1-1, Score: 100, Time: 192, Episode Max X: 315, All-Time Max X: 688, Episode Reward: -14882.0
Step: 16500, Episode: 8, Stage: 1-1, Score: 1400, Time: 95, Episode Max X: 372, All-Time Max X: 688, Episode Reward: -23455.0
