Step: 0, Episode: 0, Stage: 1-1, Score: 0, Time: 400, Episode Max X: 40, All-Time Max X: 40, Episode Reward: 40.0
Step: 500, Episode: 0, Stage: 1-1, Score: 0, Time: 331, Episode Max X: 214, All-Time Max X: 214, Episode Reward: 361.5
Step: 1000, Episode: 0, Stage: 1-1, Score: 0, Time: 345, Episode Max X: 221, All-Time Max X: 221, Episode Reward: 686.5
Step: 1500, Episode: 0, Stage: 1-1, Score: 100, Time: 245, Episode Max X: 360, All-Time Max X: 360, Episode Reward: 1050.5
Step: 2000, Episode: 0, Stage: 1-1, Score: 300, Time: 145, Episode Max X: 438, All-Time Max X: 438, Episode Reward: 1346.0
Step: 2500, Episode: 0, Stage: 1-1, Score: 300, Time: 45, Episode Max X: 438, All-Time Max X: 438, Episode Reward: 1443.5
Step: 3000, Episode: 1, Stage: 1-1, Score: 0, Time: 380, Episode Max X: 195, All-Time Max X: 524, Episode Reward: 144.0
Step: 3500, Episode: 1, Stage: 1-1, Score: 0, Time: 394, Episode Max X: 195, All-Time Max X: 524, Episode Reward: 153.0
Step: 4000, Episode: 1, Stage: 1-1, Score: 0, Time: 294, Episode Max X: 468, All-Time Max X: 524, Episode Reward: 1024.0
Step: 4500, Episode: 1, Stage: 1-1, Score: 0, Time: 194, Episode Max X: 470, All-Time Max X: 524, Episode Reward: 1043.0
Step: 5000, Episode: 1, Stage: 1-1, Score: 0, Time: 94, Episode Max X: 723, All-Time Max X: 723, Episode Reward: 1630.5
Step: 5500, Episode: 2, Stage: 1-1, Score: 0, Time: 394, Episode Max X: 40, All-Time Max X: 723, Episode Reward: -2.0
Step: 6000, Episode: 2, Stage: 1-1, Score: 200, Time: 365, Episode Max X: 270, All-Time Max X: 723, Episode Reward: 468.0
Step: 6500, Episode: 2, Stage: 1-1, Score: 300, Time: 265, Episode Max X: 270, All-Time Max X: 723, Episode Reward: 806.5
Step: 7000, Episode: 2, Stage: 1-1, Score: 1750, Time: 168, Episode Max X: 411, All-Time Max X: 723, Episode Reward: 1355.5
Step: 7500, Episode: 2, Stage: 1-1, Score: 1800, Time: 68, Episode Max X: 411, All-Time Max X: 723, Episode Reward: 1282.5
Step: 8000, Episode: 3, Stage: 1-1, Score: 0, Time: 368, Episode Max X: 40, All-Time Max X: 723, Episode Reward: -23.0
Step: 8500, Episode: 3, Stage: 1-1, Score: 0, Time: 268, Episode Max X: 143, All-Time Max X: 723, Episode Reward: 216.0
Step: 9000, Episode: 3, Stage: 1-1, Score: 100, Time: 168, Episode Max X: 513, All-Time Max X: 723, Episode Reward: 1048.5
Step: 9500, Episode: 3, Stage: 1-1, Score: 100, Time: 68, Episode Max X: 681, All-Time Max X: 723, Episode Reward: 1468.0
