Step: 0, Episode: 0, Stage: 1-1, Score: 0, Time: 400, Episode Max X: 40, All-Time Max X: 40, Episode Reward: 40.0
Step: 500, Episode: 0, Stage: 1-1, Score: 300, Time: 300, Episode Max X: 527, All-Time Max X: 527, Episode Reward: 1107.5
Step: 1000, Episode: 0, Stage: 1-1, Score: 300, Time: 200, Episode Max X: 595, All-Time Max X: 595, Episode Reward: 1196.0
Step: 1500, Episode: 0, Stage: 1-1, Score: 300, Time: 100, Episode Max X: 595, All-Time Max X: 595, Episode Reward: 1392.5
Step: 2000, Episode: 0, Stage: 1-1, Score: 300, Time: 0, Episode Max X: 595, All-Time Max X: 595, Episode Reward: 1312.0
Step: 2500, Episode: 1, Stage: 1-1, Score: 1300, Time: 303, Episode Max X: 374, All-Time Max X: 595, Episode Reward: 809.5
Step: 3000, Episode: 1, Stage: 1-1, Score: 1350, Time: 203, Episode Max X: 374, All-Time Max X: 595, Episode Reward: 798.5
Step: 3500, Episode: 1, Stage: 1-1, Score: 1450, Time: 103, Episode Max X: 551, All-Time Max X: 595, Episode Reward: 1286.5
Step: 4000, Episode: 1, Stage: 1-1, Score: 1450, Time: 3, Episode Max X: 551, All-Time Max X: 595, Episode Reward: 1354.5
Step: 4500, Episode: 2, Stage: 1-1, Score: 200, Time: 361, Episode Max X: 252, All-Time Max X: 595, Episode Reward: 390.0
Step: 5000, Episode: 2, Stage: 1-1, Score: 300, Time: 261, Episode Max X: 252, All-Time Max X: 595, Episode Reward: 734.5
Step: 5500, Episode: 2, Stage: 1-1, Score: 300, Time: 161, Episode Max X: 252, All-Time Max X: 595, Episode Reward: 798.5
Step: 6000, Episode: 2, Stage: 1-1, Score: 1500, Time: 61, Episode Max X: 409, All-Time Max X: 595, Episode Reward: 1474.0
Step: 6500, Episode: 3, Stage: 1-1, Score: 0, Time: 364, Episode Max X: 85, All-Time Max X: 595, Episode Reward: 95.5
Step: 7000, Episode: 3, Stage: 1-1, Score: 300, Time: 264, Episode Max X: 263, All-Time Max X: 595, Episode Reward: 484.5
Step: 7500, Episode: 3, Stage: 1-1, Score: 300, Time: 164, Episode Max X: 327, All-Time Max X: 595, Episode Reward: 720.0
Step: 8000, Episode: 3, Stage: 1-1, Score: 300, Time: 64, Episode Max X: 327, All-Time Max X: 595, Episode Reward: 681.5
Step: 8500, Episode: 4, Stage: 1-1, Score: 0, Time: 364, Episode Max X: 97, All-Time Max X: 595, Episode Reward: 37.5
Step: 9000, Episode: 4, Stage: 1-1, Score: 0, Time: 393, Episode Max X: 184, All-Time Max X: 595, Episode Reward: 134.0
Step: 9500, Episode: 4, Stage: 1-1, Score: 0, Time: 293, Episode Max X: 184, All-Time Max X: 595, Episode Reward: 297.5
