Step: 0, Episode: 0, Stage: 1-1, Score: 0, Time: 400, Episode Max X: 40, All-Time Max X: 40, Episode Reward: 40.0
Step: 500, Episode: 0, Stage: 1-1, Score: 100, Time: 350, Episode Max X: 432, All-Time Max X: 432, Episode Reward: 869.5
Step: 1000, Episode: 0, Stage: 1-1, Score: 100, Time: 250, Episode Max X: 722, All-Time Max X: 722, Episode Reward: 1536.5
Step: 1500, Episode: 0, Stage: 1-1, Score: 100, Time: 150, Episode Max X: 735, All-Time Max X: 735, Episode Reward: 1638.5
Step: 2000, Episode: 0, Stage: 1-1, Score: 100, Time: 50, Episode Max X: 735, All-Time Max X: 735, Episode Reward: 1695.0
Step: 2500, Episode: 0, Stage: 1-1, Score: 1800, Time: 326, Episode Max X: 1116, All-Time Max X: 1116, Episode Reward: 3180.5
Step: 3000, Episode: 0, Stage: 1-1, Score: 1800, Time: 226, Episode Max X: 1116, All-Time Max X: 1116, Episode Reward: 3528.0
Step: 3500, Episode: 1, Stage: 1-1, Score: 0, Time: 389, Episode Max X: 377, All-Time Max X: 1219, Episode Reward: 703.0
Step: 4000, Episode: 1, Stage: 1-1, Score: 400, Time: 289, Episode Max X: 899, All-Time Max X: 1219, Episode Reward: 1789.5
Step: 4500, Episode: 1, Stage: 1-1, Score: 1000, Time: 353, Episode Max X: 1133, All-Time Max X: 1219, Episode Reward: 3023.0
Step: 5000, Episode: 2, Stage: 1-1, Score: 300, Time: 394, Episode Max X: 1122, All-Time Max X: 1424, Episode Reward: 1872.0
Step: 5500, Episode: 3, Stage: 1-1, Score: 200, Time: 390, Episode Max X: 307, All-Time Max X: 1424, Episode Reward: 594.0
Step: 6000, Episode: 3, Stage: 1-1, Score: 800, Time: 379, Episode Max X: 1124, All-Time Max X: 1424, Episode Reward: 3613.0
Step: 6500, Episode: 4, Stage: 1-1, Score: 500, Time: 324, Episode Max X: 899, All-Time Max X: 1424, Episode Reward: 2294.5
Step: 7000, Episode: 5, Stage: 1-1, Score: 300, Time: 391, Episode Max X: 824, All-Time Max X: 1430, Episode Reward: 1750.0
Step: 7500, Episode: 6, Stage: 1-1, Score: 300, Time: 362, Episode Max X: 765, All-Time Max X: 1430, Episode Reward: 1500.0
Step: 8000, Episode: 8, Stage: 1-1, Score: 0, Time: 389, Episode Max X: 394, All-Time Max X: 1430, Episode Reward: 737.0
Step: 8500, Episode: 8, Stage: 1-1, Score: 100, Time: 289, Episode Max X: 722, All-Time Max X: 1430, Episode Reward: 1338.0
Step: 9000, Episode: 9, Stage: 1-1, Score: 300, Time: 366, Episode Max X: 594, All-Time Max X: 1663, Episode Reward: 1657.0
