Step: 0, Episode: 0, Stage: 1-1, Score: 0, Time: 400, Episode Max X: 40, All-Time Max X: 40, Episode Reward: 40.0
Step: 500, Episode: 0, Stage: 1-1, Score: 0, Time: 319, Episode Max X: 248, All-Time Max X: 248, Episode Reward: 455.0
Step: 1000, Episode: 0, Stage: 1-1, Score: 100, Time: 219, Episode Max X: 248, All-Time Max X: 248, Episode Reward: 682.0
Step: 1500, Episode: 0, Stage: 1-1, Score: 300, Time: 119, Episode Max X: 460, All-Time Max X: 460, Episode Reward: 1290.5
Step: 2000, Episode: 0, Stage: 1-1, Score: 300, Time: 19, Episode Max X: 596, All-Time Max X: 596, Episode Reward: 1522.5
Step: 2500, Episode: 1, Stage: 1-1, Score: 100, Time: 319, Episode Max X: 253, All-Time Max X: 596, Episode Reward: 481.0
Step: 3000, Episode: 1, Stage: 1-1, Score: 300, Time: 219, Episode Max X: 294, All-Time Max X: 596, Episode Reward: 597.0
Step: 3500, Episode: 1, Stage: 1-1, Score: 1600, Time: 122, Episode Max X: 417, All-Time Max X: 596, Episode Reward: 1126.0
Step: 4000, Episode: 1, Stage: 1-1, Score: 1600, Time: 22, Episode Max X: 544, All-Time Max X: 596, Episode Reward: 1519.5
Step: 4500, Episode: 2, Stage: 1-1, Score: 0, Time: 322, Episode Max X: 310, All-Time Max X: 596, Episode Reward: 596.0
Step: 5000, Episode: 2, Stage: 1-1, Score: 0, Time: 222, Episode Max X: 553, All-Time Max X: 596, Episode Reward: 1053.5
Step: 5500, Episode: 2, Stage: 1-1, Score: 0, Time: 122, Episode Max X: 722, All-Time Max X: 722, Episode Reward: 1433.0
Step: 6000, Episode: 2, Stage: 1-1, Score: 0, Time: 22, Episode Max X: 722, All-Time Max X: 722, Episode Reward: 1542.5
Step: 6500, Episode: 3, Stage: 1-1, Score: 100, Time: 322, Episode Max X: 146, All-Time Max X: 722, Episode Reward: 159.0
Step: 7000, Episode: 3, Stage: 1-1, Score: 300, Time: 222, Episode Max X: 336, All-Time Max X: 722, Episode Reward: 723.5
Step: 7500, Episode: 3, Stage: 1-1, Score: 1300, Time: 125, Episode Max X: 434, All-Time Max X: 722, Episode Reward: 1079.0
Step: 8000, Episode: 3, Stage: 1-1, Score: 1300, Time: 25, Episode Max X: 594, All-Time Max X: 722, Episode Reward: 1505.0
Step: 8500, Episode: 4, Stage: 1-1, Score: 100, Time: 325, Episode Max X: 280, All-Time Max X: 722, Episode Reward: 501.0
Step: 9000, Episode: 4, Stage: 1-1, Score: 300, Time: 225, Episode Max X: 281, All-Time Max X: 722, Episode Reward: 559.5
Step: 9500, Episode: 4, Stage: 1-1, Score: 1300, Time: 128, Episode Max X: 594, All-Time Max X: 722, Episode Reward: 1332.0
