Step: 23000, Episode: 14, Stage: 1-1, Score: 900, Time: 250, Episode Max X: 845, All-Time Max X: 3157, Episode Reward: -42340.0
Step: 23500, Episode: 15, Stage: 1-1, Score: 300, Time: 327, Episode Max X: 290, All-Time Max X: 3157, Episode Reward: -13638.0
Step: 24000, Episode: 15, Stage: 1-1, Score: 300, Time: 227, Episode Max X: 722, All-Time Max X: 3157, Episode Reward: -22599.0
Step: 24500, Episode: 15, Stage: 1-1, Score: 1800, Time: 330, Episode Max X: 898, All-Time Max X: 3157, Episode Reward: -72316.0
Step: 25000, Episode: 16, Stage: 1-1, Score: 100, Time: 339, Episode Max X: 201, All-Time Max X: 3157, Episode Reward: -15126.0
Step: 25500, Episode: 16, Stage: 1-1, Score: 700, Time: 381, Episode Max X: 688, All-Time Max X: 3157, Episode Reward: -70998.0
Step: 26000, Episode: 17, Stage: 1-1, Score: 0, Time: 379, Episode Max X: 243, All-Time Max X: 3157, Episode Reward: -38937.0
Step: 26500, Episode: 17, Stage: 1-1, Score: 300, Time: 279, Episode Max X: 370, All-Time Max X: 3157, Episode Reward: -74692.0
Step: 27000, Episode: 17, Stage: 1-1, Score: 2000, Time: 181, Episode Max X: 911, All-Time Max X: 3157, Episode Reward: -109033.0
Step: 27500, Episode: 17, Stage: 1-1, Score: 5800, Time: 81, Episode Max X: 911, All-Time Max X: 3157, Episode Reward: -112034.0
Step: 28000, Episode: 18, Stage: 1-1, Score: 0, Time: 383, Episode Max X: 77, All-Time Max X: 3157, Episode Reward: -5205.0
Step: 28500, Episode: 18, Stage: 1-1, Score: 200, Time: 310, Episode Max X: 503, All-Time Max X: 3157, Episode Reward: -31069.0
Step: 29000, Episode: 18, Stage: 1-1, Score: 200, Time: 210, Episode Max X: 725, All-Time Max X: 3157, Episode Reward: -57147.0
Step: 29500, Episode: 18, Stage: 1-1, Score: 200, Time: 110, Episode Max X: 888, All-Time Max X: 3157, Episode Reward: -89315.0
Step: 30000, Episode: 18, Stage: 1-1, Score: 400, Time: 10, Episode Max X: 903, All-Time Max X: 3157, Episode Reward: -134550.0
Step: 30500, Episode: 19, Stage: 1-1, Score: 1400, Time: 331, Episode Max X: 722, All-Time Max X: 3157, Episode Reward: 9062.0
Step: 31000, Episode: 19, Stage: 1-1, Score: 1800, Time: 234, Episode Max X: 1079, All-Time Max X: 3157, Episode Reward: 2336.0
Step: 31500, Episode: 19, Stage: 1-1, Score: 2100, Time: 309, Episode Max X: 1113, All-Time Max X: 3157, Episode Reward: -100820.0
Step: 32000, Episode: 20, Stage: 1-1, Score: 100, Time: 398, Episode Max X: 722, All-Time Max X: 3157, Episode Reward: -39160.0
Step: 32500, Episode: 20, Stage: 1-1, Score: 300, Time: 298, Episode Max X: 722, All-Time Max X: 3157, Episode Reward: -71720.0
Step: 33000, Episode: 20, Stage: 1-1, Score: 400, Time: 198, Episode Max X: 782, All-Time Max X: 3157, Episode Reward: -109412.0
Step: 33500, Episode: 21, Stage: 1-1, Score: 1400, Time: 308, Episode Max X: 594, All-Time Max X: 3157, Episode Reward: 11133.0
Step: 34000, Episode: 21, Stage: 1-1, Score: 2700, Time: 350, Episode Max X: 819, All-Time Max X: 3157, Episode Reward: -52735.0
Step: 34500, Episode: 21, Stage: 1-1, Score: 2800, Time: 253, Episode Max X: 1041, All-Time Max X: 3157, Episode Reward: -74841.0
Step: 35000, Episode: 22, Stage: 1-1, Score: 0, Time: 380, Episode Max X: 243, All-Time Max X: 3157, Episode Reward: -12405.0
Step: 35500, Episode: 23, Stage: 1-1, Score: 200, Time: 332, Episode Max X: 415, All-Time Max X: 3157, Episode Reward: 5162.0
Step: 36000, Episode: 23, Stage: 1-1, Score: 300, Time: 379, Episode Max X: 830, All-Time Max X: 3157, Episode Reward: -63942.0
Step: 36500, Episode: 23, Stage: 1-1, Score: 300, Time: 279, Episode Max X: 830, All-Time Max X: 3157, Episode Reward: -102689.0
Step: 37000, Episode: 24, Stage: 1-1, Score: 0, Time: 384, Episode Max X: 681, All-Time Max X: 3157, Episode Reward: -27077.0
Step: 37500, Episode: 24, Stage: 1-1, Score: 500, Time: 331, Episode Max X: 686, All-Time Max X: 3157, Episode Reward: -108234.0
Step: 38000, Episode: 24, Stage: 1-1, Score: 500, Time: 231, Episode Max X: 822, All-Time Max X: 3157, Episode Reward: -144264.0
Step: 38500, Episode: 25, Stage: 1-1, Score: 0, Time: 347, Episode Max X: 354, All-Time Max X: 3157, Episode Reward: -18387.0
Step: 39000, Episode: 25, Stage: 1-1, Score: 0, Time: 247, Episode Max X: 737, All-Time Max X: 3157, Episode Reward: -30443.0
Step: 39500, Episode: 25, Stage: 1-1, Score: 200, Time: 392, Episode Max X: 1215, All-Time Max X: 3157, Episode Reward: -111590.0
Step: 40000, Episode: 27, Stage: 1-1, Score: 0, Time: 397, Episode Max X: 222, All-Time Max X: 3157, Episode Reward: -10985.0
Step: 40500, Episode: 28, Stage: 1-1, Score: 0, Time: 389, Episode Max X: 156, All-Time Max X: 3157, Episode Reward: 6405.0
Step: 41000, Episode: 28, Stage: 1-1, Score: 400, Time: 313, Episode Max X: 594, All-Time Max X: 3157, Episode Reward: -19489.0
Step: 41500, Episode: 28, Stage: 1-1, Score: 500, Time: 213, Episode Max X: 801, All-Time Max X: 3157, Episode Reward: -50531.0
Step: 42000, Episode: 29, Stage: 1-1, Score: 0, Time: 395, Episode Max X: 705, All-Time Max X: 3157, Episode Reward: -16351.0
